country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2010,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2011,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2014,69,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2015,69,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2016,69,Total,,%,,,,Total
